Title,Year,Rating,Length (minutes),Rating Amount,Group,Metascore,Short Description,Directors,Star 1,Star 2,Star 3
Children of Heaven,1997,8.2,89,84000,PG,77.0,"After a boy loses his sister's pair of shoes, he goes on a series of adventures in order to find them. When he can't, he tries a new way to ""win"" a new pair.",Majid Majidi,Reza Naji, Amir Farrokh Hashemian, Bahare Seddiqi
The Treasure of the Sierra Madre,1948,8.2,126,136000,Approved,98.0,Two down-on-their-luck Americans searching for work in 1920s Mexico convince an old prospector to help them mine for gold in the Sierra Madre Mountains.,John Huston,Humphrey Bogart, Walter Huston, Tim Holt
Rocco and His Brothers,1960,8.2,179,23000,Not Rated,84.0,"Having recently been uprooted to Milan, Rocco and his four brothers each look for a new way in life when a prostitute comes between Rocco and his brother Simone.",Luchino Visconti,Alain Delon, Renato Salvatori, Annie Girardot
A Face in the Crowd,1957,8.2,126,18000,Approved,72.0,"Female radio reporter Marcia Jeffries turns folk-singing drifter Larry ""Lonesome"" Rhodes into a powerful media star who becomes utterly detestable during his meteoric rise.",Elia Kazan,Andy Griffith, Patricia Neal, Anthony Franciosa
They Shall Not Grow Old,2018,8.2,99,39000,R,91.0,A documentary about World War I with never-before-seen footage to commemorate the centennial of the end of the war.,Peter Jackson,Thomas Adlam, William Argent, John Ashby
Koyaanisqatsi,1982,8.2,86,43000,Not Rated,72.0,"A collection of expertly photographed phenomena with no conventional plot. The footage focuses on the relationship between nature, humanity, and technology.",Godfrey Reggio,Edward Asner, Pat Benatar, Jerry Brown
Searching for Sugar Man,2012,8.2,86,74000,PG-13,79.0,"Two South Africans set out to discover what happened to their unlikely musical hero, the mysterious 1970s rock n roller, Rodriguez.",Malik Bendjelloul,Rodriguez, Stephen 'Sugar' Segerman, Dennis Coffey
Gangs of Wasseypur,2012,8.2,321,107000,Not Rated,89.0,"A clash between Sultan and Shahid Khan leads to the expulsion of Khan from Wasseypur, and ignites a deadly blood feud spanning three generations.",Anurag Kashyap,Manoj Bajpayee, Nawazuddin Siddiqui, Tigmanshu Dhulia
Close-Up,1990,8.2,98,24000,Not Rated,92.0,"The true story of Hossain Sabzian, a cinephile who impersonated the director Mohsen Makhmalbaf to convince a family they would star in his so-called new film.",Abbas Kiarostami,Hossain Sabzian, Mohsen Makhmalbaf, Abolfazl Ahankhah
A Brighter Summer Day,1991,8.2,237,14000,Not Rated,91.0,"Based on a true story, primarily on a conflict between two youth gangs, a 14-year-old boy's girlfriend conflicts with the head of one gang for an unclear reason, until finally the conflict comes to a violent climax.",Edward Yang,Chang Chen, Lisa Yang, Kuo-Chu Chang
Paris Is Burning,1990,8.2,78,19000,R,82.0,"A chronicle of New York's drag scene in the 1980s, focusing on balls, voguing and the ambitions and dreams of those who gave the era its warmth and vitality.",Jennie Livingston,Brooke Xtravaganza, André Christian, Dorian Corey
Late Spring,1949,8.2,110,20000,Not Rated,93.0,"Several people try to talk 27-year-old Noriko into marrying, but all she wants is to keep on caring for her widowed father.",Yasujirô Ozu,Chishû Ryû, Setsuko Hara, Yumeji Tsukioka
13th,2016,8.2,100,38000,TV-MA,81.0,An in-depth look at the prison system in the United States and how it reveals the nation's history of racial inequality.,Ava DuVernay,Melina Abdullah, Michelle Alexander, Cory Booker
I Am Cuba,1964,8.2,141,11000,Not Rated,91.0,Four vignettes about the lives of the Cuban people set during the pre-revolutionary era.,Mikhail Kalatozov,Sergio Corrieri, Salvador Wood, José Gallardo
Umberto D.,1952,8.2,89,29000,Not Rated,92.0,An elderly man and his dog struggle to survive on his government pension in Rome.,Vittorio De Sica,Carlo Battisti, Maria Pia Casilio, Lina Gennari
Before the Flood,2016,8.2,96,29000,PG,63.0,"A look at how climate change affects our environment and what society can do to prevent the demise of endangered species, ecosystems and native communities across the planet.",Fisher Stevens,Leonardo DiCaprio, Ban Ki-moon, Alejandro G. Iñárritu
Mad Max: Fury Road,2015,8.1,120,1100000,R,90.0,"In a post-apocalyptic wasteland, a woman rebels against a tyrannical ruler in search for her homeland with the aid of a group of female prisoners, a psychotic worshipper and a drifter named Max.",George Miller,Tom Hardy, Charlize Theron, Nicholas Hoult
The Wizard of Oz,1939,8.1,102,445000,G,92.0,"Young Dorothy Gale and her dog Toto are swept away by a tornado from their Kansas farm to the magical Land of Oz and embark on a quest with three new friends to see the Wizard, who can return her to her home and fulfill the others' wishes.","Victor Fleming, King Vidor",Judy Garland, Frank Morgan, Ray Bolger
Gone Girl,2014,8.1,149,1100000,R,79.0,The husband of a missing woman becomes the chief suspect in her disappearance.,David Fincher,Ben Affleck, Rosamund Pike, Neil Patrick Harris
Harry Potter and the Deathly Hallows: Part 2,2011,8.1,130,983000,PG-13,85.0,"As the battle between the forces of good and evil in the wizarding world escalates, Harry Potter draws ever closer to his final confrontation with Voldemort.",David Yates,Daniel Radcliffe, Emma Watson, Rupert Grint
Pirates of the Caribbean: The Curse of the Black Pearl,2003,8.1,143,1200000,PG-13,63.0,"Blacksmith Will Turner teams up with eccentric pirate ""Captain"" Jack Sparrow to save Elizabeth Swann, the governor's daughter and his love, from Jack's former pirate allies, who are now undead.",Gore Verbinski,Johnny Depp, Geoffrey Rush, Orlando Bloom
The Handmaiden,2016,8.1,145,184000,Not Rated,85.0,"In 1930s Korea, a girl is hired as a handmaiden to a Japanese heiress who lives a secluded life on a countryside estate. But the maid has a secret: She is a pickpocket recruited by a swindler to help seduce the Lady and steal her fortune.",Park Chan-wook,Kim Min-hee, Ha Jung-woo, Cho Jin-woong
Blade Runner,1982,8.1,117,845000,R,84.0,A blade runner must pursue and terminate four replicants who stole a ship in space and have returned to Earth to find their creator.,Ridley Scott,Harrison Ford, Rutger Hauer, Sean Young
Hacksaw Ridge,2016,8.1,139,625000,R,71.0,"World War II American Army Medic Desmond T. Doss, serving during the Battle of Okinawa, refuses to kill people and becomes the first man in American history to receive the Medal of Honor without firing a shot.",Mel Gibson,Andrew Garfield, Sam Worthington, Luke Bracey
Fargo,1996,8.1,98,746000,R,88.0,Minnesota car salesman Jerry Lundegaard's inept crime falls apart due to his and his henchmen's bungling and the persistent police work of the quite pregnant Marge Gunderson.,"Joel Coen, Ethan Coen",William H. Macy, Frances McDormand, Steve Buscemi
Dead Poets Society,1989,8.1,128,579000,PG,79.0,"Maverick teacher John Keating returns in 1959 to the prestigious New England boys' boarding school where he was once a star student, using poetry to embolden his pupils to new heights of self-expression.",Peter Weir,Robin Williams, Robert Sean Leonard, Ethan Hawke
Jaws,1975,8.1,124,685000,PG,87.0,"When a massive killer shark unleashes chaos on a beach community off Long Island, it's up to a local sheriff, a marine biologist, and an old seafarer to hunt the beast down.",Steven Spielberg,Roy Scheider, Robert Shaw, Richard Dreyfuss
The Grand Budapest Hotel,2014,8.1,99,914000,R,88.0,"A writer encounters the owner of an aging high-class hotel, who tells him of his early years serving as a lobby boy in the hotel's glorious years under an exceptional concierge.",Wes Anderson,Ralph Fiennes, F. Murray Abraham, Mathieu Amalric
Catch Me If You Can,2002,8.1,141,1100000,PG-13,75.0,"Barely 17 yet, Frank is a skilled forger who has passed as a doctor, lawyer and pilot. FBI agent Carl becomes obsessed with tracking down the con man, who only revels in the pursuit.",Steven Spielberg,Leonardo DiCaprio, Tom Hanks, Christopher Walken
Ratatouille,2007,8.1,111,868000,G,96.0,A rat who can cook makes an unusual alliance with a young kitchen worker at a famous Paris restaurant.,"Brad Bird, Jan Pinkava",Brad Garrett, Lou Romano, Patton Oswalt
Stand by Me,1986,8.1,89,457000,R,75.0,A writer recounts a childhood journey with his friends to find the body of a missing boy.,Rob Reiner,Wil Wheaton, River Phoenix, Corey Feldman
The Sound of Music,1965,8.1,172,272000,G,63.0,A young novice is sent by her convent in 1930s Austria to become a governess to the seven children of a widowed naval officer.,Robert Wise,Julie Andrews, Christopher Plummer, Eleanor Parker
The Big Lebowski,1998,8.1,117,881000,R,71.0,"Jeff ""The Dude"" Lebowski, mistaken for a millionaire of the same name, seeks restitution for his ruined rug and enlists his bowling buddies to help get it.","Joel Coen, Ethan Coen",Jeff Bridges, John Goodman, Julianne Moore
The Help,2011,8.1,146,507000,PG-13,62.0,"An aspiring author during the civil rights movement of the 1960s decides to write a book detailing the African American maids' point of view on the white families for which they work, and the hardships they go through on a daily basis.",Tate Taylor,Viola Davis, Emma Stone, Octavia Spencer
Memories of Murder,2003,8.1,132,233000,Not Rated,82.0,"In a small Korean province in 1986, two detectives struggle with the case of multiple young women being found raped and murdered by an unknown culprit.",Bong Joon Ho,Song Kang-ho, Kim Sang-kyung, Kim Roe-ha
The Terminator,1984,8.1,107,953000,R,84.0,A cyborg assassin from the future attempts to find and kill a young woman who is destined to give birth to a warrior that will lead a resistance to save humankind from extinction.,James Cameron,Arnold Schwarzenegger, Linda Hamilton, Michael Biehn
Inside Out,2015,8.1,95,852000,PG,94.0,"After young Riley is uprooted from her Midwest life and moved to San Francisco, her emotions - Joy, Fear, Anger, Disgust and Sadness - conflict on how best to navigate a new city, house, and school.","Pete Docter, Ronnie Del Carmen",Amy Poehler, Bill Hader, Lewis Black
Chinatown,1974,8.1,130,361000,R,92.0,"A private detective hired to expose an adulterer in 1930s Los Angeles finds himself caught up in a web of deceit, corruption, and murder.",Roman Polanski,Jack Nicholson, Faye Dunaway, John Huston
Trainspotting,1996,8.1,93,743000,R,83.0,"Renton, deeply immersed in the Edinburgh drug scene, tries to clean up and get out despite the allure of drugs and the influence of friends.",Danny Boyle,Ewan McGregor, Ewen Bremner, Jonny Lee Miller
Ford v Ferrari,2019,8.1,152,510000,PG-13,81.0,American car designer Carroll Shelby and driver Ken Miles battle corporate interference and the laws of physics to build a revolutionary race car for Ford in order to defeat Ferrari at the 24 Hours of Le Mans in 1966.,James Mangold,Matt Damon, Christian Bale, Jon Bernthal
"Paris, Texas",1984,8.1,145,129000,R,81.0,"Travis Henderson, an aimless drifter who has been missing for four years, wanders out of the desert and must reconnect with society, himself, his life, and his family.",Wim Wenders,Harry Dean Stanton, Nastassja Kinski, Dean Stockwell
"Three Billboards Outside Ebbing, Missouri",2017,8.1,115,574000,R,88.0,A mother personally challenges the local authorities to solve her daughter's murder when they fail to catch the culprit.,Martin McDonagh,Frances McDormand, Woody Harrelson, Sam Rockwell
How to Train Your Dragon,2010,8.1,98,830000,PG,75.0,"A hapless young Viking who aspires to hunt dragons becomes the unlikely friend of a young dragon himself, and learns there may be more to the creatures than he assumed.","Dean DeBlois, Chris Sanders",Jay Baruchel, Gerard Butler, Christopher Mintz-Plasse
Into the Wild,2007,8.1,148,673000,R,73.0,"After graduating from Emory University, top student and athlete Christopher McCandless abandons his possessions, gives his entire $24,000 savings account to charity and hitchhikes to Alaska to live in the wilderness.",Sean Penn,Emile Hirsch, Vince Vaughn, Catherine Keener
Room,2015,8.1,118,463000,R,86.0,"A little boy is held captive in a room with his mother since his birth, so he has never known the world outside.",Lenny Abrahamson,Brie Larson, Jacob Tremblay, Sean Bridgers
The Exorcist,1973,8.1,122,472000,R,83.0,"When a mysterious entity possesses a young girl, her mother seeks the help of two Catholic priests to save her life.",William Friedkin,Ellen Burstyn, Max von Sydow, Linda Blair
V for Vendetta,2005,8.1,132,1200000,R,62.0,"In a future British dystopian society, a shadowy freedom fighter, known only by the alias of ""V"", plots to overthrow the tyrannical government - with the help of a young woman.",James McTeigue,Hugo Weaving, Natalie Portman, Rupert Graves
Rocky,1976,8.1,120,651000,PG,70.0,A small-time Philadelphia boxer gets a supremely rare chance to fight the world heavyweight champion in a bout in which he strives to go the distance for his self-respect.,John G. Avildsen,Sylvester Stallone, Talia Shire, Burt Young
Logan,2017,8.1,137,877000,R,77.0,"In a future where mutants are nearly extinct, an elderly and weary Logan leads a quiet life. But when Laura, a mutant child pursued by scientists, comes to him for help, he must get her to safety.",James Mangold,Hugh Jackman, Patrick Stewart, Dafne Keen
Platoon,1986,8.1,120,450000,R,92.0,"Chris Taylor, a neophyte recruit in Vietnam, finds himself caught in a battle of wills between two sergeants, one good and the other evil. A shrewd examination of the brutality of war and the duality of man in conflict.",Oliver Stone,Charlie Sheen, Tom Berenger, Willem Dafoe
The Deer Hunter,1978,8.1,183,372000,R,90.0,An in-depth examination of the ways in which the Vietnam War impacts and disrupts the lives of several friends in a small steel mill town in Pennsylvania.,Michael Cimino,Robert De Niro, Christopher Walken, John Cazale
"Monsters, Inc.",2001,8.1,92,1000000,G,79.0,"In order to power the city, monsters have to scare children so that they scream. However, the children are toxic to the monsters, and after a child gets through, two monsters realize things may not be what they think.","Pete Docter, David Silverman, Lee Unkrich",Billy Crystal, John Goodman, Mary Gibbs
Barry Lyndon,1975,8.1,185,190000,PG,89.0,An Irish rogue wins the heart of a rich widow and assumes her dead husband's aristocratic position in 18th-century England.,Stanley Kubrick,Ryan O'Neal, Marisa Berenson, Patrick Magee
Warrior,2011,8.1,140,510000,PG-13,71.0,"The youngest son of an alcoholic former boxer returns home, where he's trained by his father for competition in a mixed martial arts tournament - a path that puts the fighter on a collision course with his estranged, older brother.",Gavin O'Connor,Tom Hardy, Nick Nolte, Joel Edgerton
Before Sunrise,1995,8.1,101,353000,R,78.0,"A young man and woman meet on a train in Europe, and wind up spending one evening together in Vienna. Unfortunately, both know that this will probably be their only night together.",Richard Linklater,Ethan Hawke, Julie Delpy, Andrea Eckert
"Lock, Stock and Two Smoking Barrels",1998,8.1,107,630000,R,67.0,"When four small-time criminals lose a rigged poker game against a London kingpin, he gives them one week to settle their enormous debt.",Guy Ritchie,Jason Flemyng, Dexter Fletcher, Nick Moran
12 Years a Slave,2013,8.1,134,758000,R,96.0,"In the antebellum United States, Solomon Northup, a free black man from upstate New York, is abducted and sold into slavery.",Steve McQueen,Chiwetel Ejiofor, Michael Kenneth Williams, Michael Fassbender
Spotlight,2015,8.1,129,514000,R,93.0,"The true story of how the Boston Globe uncovered the massive scandal of child molestation and cover-up within the local Catholic Archdiocese, shaking the entire Catholic Church to its core.",Tom McCarthy,Mark Ruffalo, Michael Keaton, Rachel McAdams
Portrait of a Lady on Fire,2019,8.1,122,116000,R,95.0,"On an isolated island in Brittany at the end of the eighteenth century, a female painter is obliged to paint a wedding portrait of a young woman.",Céline Sciamma,Noémie Merlant, Adèle Haenel, Luàna Bajrami
In the Mood for Love,2000,8.1,98,173000,PG,87.0,"Two neighbors form a strong bond after both suspect extramarital activities of their spouses. However, they agree to keep their bond platonic so as not to commit similar wrongs.",Wong Kar-Wai,Tony Leung Chiu-wai, Maggie Cheung, Ping-Lam Siu
Gran Torino,2008,8.1,116,832000,R,73.0,"After a Hmong teenager tries to steal his prized 1972 Gran Torino, a disgruntled, prejudiced Korean War veteran seeks to redeem both the boy and himself.",Clint Eastwood,Clint Eastwood, Bee Vang, Christopher Carley
Rush,2013,8.1,123,528000,R,74.0,"James Hunt and Niki Lauda, two extremely skilled Formula One racers, have an intense rivalry with each other. However, it is their enmity that pushes them to their limits.",Ron Howard,Daniel Brühl, Chris Hemsworth, Olivia Wilde
Million Dollar Baby,2004,8.1,132,739000,PG-13,86.0,"Frankie, an ill-tempered old coach, reluctantly agrees to train aspiring boxer Maggie. Impressed with her determination and talent, he helps her become the best and the two soon form a close bond.",Clint Eastwood,Hilary Swank, Clint Eastwood, Morgan Freeman
Ben-Hur,1959,8.1,212,260000,G,90.0,"A Jewish prince is betrayed and sent into slavery by a Roman friend in 1st-century Jerusalem, but it's not long before he regains his freedom and comes back for revenge.",William Wyler,Charlton Heston, Jack Hawkins, Stephen Boyd
A Silent Voice: The Movie,2016,8.1,130,114000,Not Rated,78.0,"A deaf girl, Shoko, is bullied by the popular Shoya. As Shoya continues to bully Shoko, the class turns its back on him. Shoko transfers and Shoya grows up as an outcast. Alone and depressed, the regretful Shoya finds Shoko to make amends.","Taichi Ishidate, Naoko Yamada",Miyu Irino, Saori Hayami, Aoi Yûki
My Neighbor Totoro,1988,8.1,86,399000,G,87.0,"When two girls move to the country to be near their ailing mother, they have adventures with the wondrous forest spirits who live nearby.",Hayao Miyazaki,Hitoshi Takagi, Noriko Hidaka, Chika Sakamoto
The Seventh Seal,1957,8.1,96,205000,Not Rated,88.0,"A knight returning to Sweden after the Crusades seeks answers about life, death, and the existence of God as he plays chess against the Grim Reaper during the Black Plague.",Ingmar Bergman,Max von Sydow, Gunnar Björnstrand, Bengt Ekerot
Network,1976,8.1,121,176000,R,83.0,"A television network cynically exploits a deranged former anchor's ravings and revelations about mass media for its own profit, but finds that his message may be difficult to control.",Sidney Lumet,Faye Dunaway, William Holden, Peter Finch
The Iron Giant,1999,8.1,86,240000,PG,85.0,A young boy befriends a giant robot from outer space that a paranoid government agent wants to destroy.,Brad Bird,Eli Marienthal, Harry Connick Jr., Jennifer Aniston
Raging Bull,1980,8.1,129,391000,R,90.0,"The life of boxer Jake LaMotta, whose violence and temper that led him to the top in the ring destroyed his life outside of it.",Martin Scorsese,Robert De Niro, Cathy Moriarty, Joe Pesci
Wild Tales,2014,8.1,122,225000,R,77.0,Six short stories that explore the extremities of human behavior involving people in distress.,Damián Szifron,Darío Grandinetti, María Marull, Mónica Villa
In the Name of the Father,1993,8.1,133,193000,R,84.0,"An Irish man's coerced confession to an I.R.A. bombing he did not commit results in the imprisonment of his father as well. Meanwhile, a British lawyer fights to clear their names and free them.",Jim Sheridan,Daniel Day-Lewis, Pete Postlethwaite, Alison Crosbie
Before Sunset,2004,8.1,80,298000,R,91.0,"Nine years after Jesse and Celine first met, they encounter each other again on the French leg of Jesse's book tour.",Richard Linklater,Ethan Hawke, Julie Delpy, Vernon Dobtcheff
Mary and Max,2009,8.1,92,194000,Not Rated,72.0,"In 1976 Melbourne, a lonely 8-year-old girl strikes up a correspondence with an unlikely pen pal: a severely obese 44-year-old New Yorker with Asperger's syndrome.",Adam Elliot,Toni Collette, Philip Seymour Hoffman, Eric Bana
Rebecca,1940,8.1,130,151000,Approved,86.0,A self-conscious woman juggles adjusting to her new role as an aristocrat's wife and avoiding being intimidated by his first wife's spectral presence.,Alfred Hitchcock,Laurence Olivier, Joan Fontaine, George Sanders
On the Waterfront,1954,8.1,108,170000,Approved,91.0,"An ex-prize fighter turned New Jersey longshoreman struggles to stand up to his corrupt union bosses, including his older brother, as he starts to connect with the grieving sister of one of the syndicate's victims.",Elia Kazan,Marlon Brando, Karl Malden, Lee J. Cobb
The Bridge on the River Kwai,1957,8.1,161,239000,PG,88.0,"British POWs are forced to build a railway bridge across the river Kwai for their Japanese captors in occupied Burma, not knowing that the allied forces are planning a daring commando raid through the jungle to destroy it.",David Lean,William Holden, Alec Guinness, Jack Hawkins
Hotel Rwanda,2004,8.1,121,381000,PG-13,79.0,"Paul Rusesabagina, a hotel manager, houses over a thousand Tutsi refugees during their struggle against the Hutu militia in Rwanda, Africa.",Terry George,Don Cheadle, Sophie Okonedo, Joaquin Phoenix
The Third Man,1949,8.1,104,188000,Approved,97.0,"Pulp novelist Holly Martins travels to shadowy, postwar Vienna, only to find himself investigating the mysterious death of an old friend, Harry Lime.",Carol Reed,Orson Welles, Joseph Cotten, Alida Valli
Paper Moon,1973,8.1,102,54000,PG,77.0,"During the Great Depression, a con man finds himself saddled with a young girl who may or may not be his daughter, and the two forge an unlikely partnership.",Peter Bogdanovich,Ryan O'Neal, Tatum O'Neal, Madeline Kahn
The Man Who Shot Liberty Valance,1962,8.1,123,85000,Approved,94.0,A senator returns to a Western town for the funeral of an old friend and tells the story of his origins.,John Ford,James Stewart, John Wayne, Vera Miles
Fanny and Alexander,1982,8.1,188,69000,R,100.0,"Two young Swedish children in the 1900s experience the many comedies and tragedies of their lively and affectionate theatrical family, the Ekdahls.",Ingmar Bergman,Bertil Guve, Pernilla Allwin, Kristina Adolphson
It Happened One Night,1934,8.1,105,116000,Approved,87.0,A rogue reporter trailing a runaway heiress for a big story joins her on a bus heading from Florida to New York and they end up stuck with each other when the bus leaves them behind at one of the stops along the way.,Frank Capra,Clark Gable, Claudette Colbert, Walter Connolly
The Grapes of Wrath,1940,8.1,129,103000,Approved,96.0,"An Oklahoma family, driven off their farm by the poverty and hopelessness of the Dust Bowl, joins the westward migration to California, suffering the misfortunes of the homeless in the Great Depression.",John Ford,Henry Fonda, Jane Darwell, John Carradine
The Best Years of Our Lives,1946,8.1,170,73000,Approved,93.0,"Three World War II veterans, two of them traumatized or disabled, return home to the American midwest to discover that they and their families have been irreparably changed.",William Wyler,Myrna Loy, Dana Andrews, Fredric March
All Quiet on the Western Front,1930,8.1,152,69000,Approved,91.0,"A German youth eagerly enters World War I, but his enthusiasm wanes as he gets a firsthand view of the horror.",Lewis Milestone,Lew Ayres, Louis Wolheim, John Wray
Tokyo Story,1953,8.1,137,72000,Not Rated,100.0,"An old couple visit their children and grandchildren in the city, but receive little attention.",Yasujirô Ozu,Chishû Ryû, Chieko Higashiyama, Sô Yamamura
Wild Strawberries,1957,8.1,92,119000,Not Rated,88.0,"After living a life marked by coldness, an aging professor is forced to confront the emptiness of his existence.",Ingmar Bergman,Victor Sjöström, Bibi Andersson, Ingrid Thulin
Free Solo,2018,8.1,100,81000,PG-13,83.0,"Alex Honnold faces the biggest challenge of his career, climbing El Capitan in Yosemite National Park. He pursues it Free Solo, which means climbing without a rope and alone.","Jimmy Chin, Elizabeth Chai Vasarhelyi",Alex Honnold, Tommy Caldwell, Jimmy Chin
Three Colors: Red,1994,8.1,99,113000,R,100.0,A model discovers a retired judge is keen on invading people's privacy.,Krzysztof Kieslowski,Irène Jacob, Jean-Louis Trintignant, Frédérique Feder
The Wages of Fear,1953,8.1,156,69000,Not Rated,85.0,"In a decrepit South American village, four men are hired to transport an urgent nitroglycerine shipment without the equipment that would make it safe.",Henri-Georges Clouzot,Yves Montand, Charles Vanel, Peter van Eyck
The Battle of Algiers,1966,8.1,121,69000,Not Rated,96.0,"In the 1950s, fear and violence escalate as the people of Algiers fight for independence from the French government.",Gillo Pontecorvo,Brahim Hadjadj, Jean Martin, Yacef Saadi
Yi Yi,2000,8.1,173,30000,Not Rated,94.0,Each member of a middle-class Taipei family seeks to reconcile past and present relationships within their daily lives.,Edward Yang,Nien-Jen Wu, Elaine Jin, Issei Ogata
To Be or Not to Be,1942,8.1,99,46000,Approved,86.0,"During the German occupation of Poland, an acting troupe becomes embroiled in a Polish soldier's efforts to track down a German spy.",Ernst Lubitsch,Carole Lombard, Jack Benny, Robert Stack
Mr. Smith Goes to Washington,1939,8.1,129,125000,Approved,73.0,"A naive youth leader is appointed to fill a vacancy in the U.S. Senate. His idealistic plans promptly collide with corruption at home and subterfuge from his hero in Washington, but he tries to forge ahead despite attacks on his character.",Frank Capra,James Stewart, Jean Arthur, Claude Rains
My Octopus Teacher,2020,8.1,85,67000,TV-G,82.0,"A filmmaker forges an unusual friendship with an octopus living in a South African kelp forest, learning as the animal shares the mysteries of her world.","Pippa Ehrlich, James Reed",Craig Foster, Tom Foster,
Sunrise,1927,8.1,94,55000,Passed,95.0,"A sophisticated city woman seduces a farmer and convinces him to murder his wife and join her in the city, but he ends up rekindling his romance with his wife when he changes his mind at the last moment.",F.W. Murnau,George O'Brien, Janet Gaynor, Margaret Livingston
The Last Waltz,1978,8.1,117,21000,PG,84.0,A film account and presentation of the final concert of The Band.,Martin Scorsese,Robbie Robertson, Muddy Waters, Neil Young
The Passion of Joan of Arc,1928,8.1,114,63000,Passed,98.0,"In 1431, Jeanne d'Arc is placed on trial on charges of heresy. The ecclesiastical jurists attempt to force Jeanne to recant her claims of holy visions.",Carl Theodor Dreyer,Maria Falconetti, Eugene Silvain, André Berley
The Miracle Worker,1962,8.1,106,21000,Approved,83.0,"The story of Anne Sullivan's struggle to teach the blind, deaf and mute child Helen Keller how to understand and communicate.",Arthur Penn,Anne Bancroft, Patty Duke, Victor Jory
Blackfish,2013,8.1,83,74000,PG-13,83.0,"A documentary following the controversial captivity of killer whales, and its dangers for both humans and whales.",Gabriela Cowperthwaite,Tilikum, Dave Duffus, Samantha Berg
Wolf Children,2012,8.1,117,51000,PG,76.0,"After her werewolf lover unexpectedly dies in an accident while hunting for food for their children, a young woman must find ways to raise the werewolf son and daughter that she had with him while keeping their trait hidden from society.",Mamoru Hosoda,Aoi Miyazaki, Takao Osawa, Haru Kuroki
Farewell My Concubine,1993,8.1,171,35000,R,84.0,Two boys meet at an opera training school in Peking in 1924. Their resulting friendship will span nearly 70 years and endure some of the most troublesome times in China's history.,Kaige Chen,Leslie Cheung, Fengyi Zhang, Gong Li
Z,1969,8.1,127,32000,M/PG,86.0,The public murder of a prominent politician and doctor amid a violent demonstration is covered up by military and government officials. A tenacious magistrate is determined not to let them get away with it.,Costa-Gavras,Yves Montand, Irene Papas, Jean-Louis Trintignant
Inherit the Wind,1960,8.1,128,34000,Approved,75.0,"Based on a real-life case in 1925; two great lawyers argue the case for, and against, a Tennessee science teacher accused of the crime of teaching Darwin's theory of evolution.",Stanley Kramer,Spencer Tracy, Fredric March, Gene Kelly
The First Slam Dunk,2022,8.1,124,11000,PG-13,79.0,"Follows 17-year-old Ryota Miyagi, who struggles to accomplish his late elder brother's dream of becoming a basketball star.",Takehiko Inoue,Shugo Nakamura, Jun Kasama, Shinichiro Kamio
Army of Shadows,1969,8.1,145,27000,Not Rated,99.0,An account of underground resistance fighters in Nazi-occupied France.,Jean-Pierre Melville,Lino Ventura, Paul Meurisse, Jean-Pierre Cassel
Lagaan: Once Upon a Time in India,2001,8.1,224,123000,PG,84.0,The people of a small village in Victorian India stake their future on a game of cricket against their ruthless British rulers.,Ashutosh Gowariker,Aamir Khan, Raghubir Yadav, Gracy Singh
Chak De! India,2007,8.1,153,87000,Not Rated,68.0,"Kabir Khan, the coach of the Indian Women's National Hockey Team, dreams of making his all-girls team emerge victorious against all odds.",Shimit Amin,Shah Rukh Khan, Vidya Malvade, Sagarika Ghatge
Ace in the Hole,1951,8.1,111,40000,Approved,72.0,"Frustrated former journalist Chuck Tatum now working for an Albuquerque newspaper exploits a story about trading post owner Leo Minosa trapped in a cave to rekindle Chuck's career, but the story soon escalates into a media circus.",Billy Wilder,Kirk Douglas, Jan Sterling, Robert Arthur
White Heat,1949,8.1,114,37000,Approved,89.0,A psychopathic criminal with a mother complex makes a daring break from prison and leads his old gang in a chemical plant payroll heist.,Raoul Walsh,James Cagney, Virginia Mayo, Edmond O'Brien
Still: A Michael J. Fox Movie,2023,8.1,95,17000,R,78.0,"Follows the life of beloved actor and advocate Michael J. Fox, exploring his personal and professional triumphs and travails, and what happens when an incurable optimist confronts an incurable disease.",Davis Guggenheim,Michael J. Fox, Davis Guggenheim, Tracy Pollan
Apollo 11,2019,8.1,93,28000,G,88.0,A look at the Apollo 11 mission to land on the moon led by commander Neil Armstrong and pilots Buzz Aldrin and Mike Collins.,Todd Douglas Miller,Neil Armstrong, Mike Collins, Buzz Aldrin
Tangerines,2013,8.1,87,50000,Not Rated,73.0,"In 1992, war rages in Abkhazia, a breakaway region of Georgia. An Estonian man, Ivo, has decided to stay behind and harvest his crops of tangerines. In a bloody conflict at his door, a wounded man is left behind, and Ivo takes him in.",Zaza Urushadze,Lembit Ulfsak, Elmo Nüganen, Giorgi Nakashidze
Rififi,1955,8.1,118,38000,Not Rated,97.0,"Four men plan a technically perfect crime, but the human element intervenes...",Jules Dassin,Jean Servais, Carl Möhner, Robert Manuel
Woodstock,1970,8.1,184,19000,R,95.0,Oscar-winning musical chronicle that brilliantly captures the three-day rock concert and celebration of peace and love that became a capstone for the Sixties.,Michael Wadleigh,Joan Baez, Richie Havens, Roger Daltrey
The Dawn Wall,2017,8.1,100,22000,Not Rated,81.0,"In an unbelievable story of perseverance, free climber Tommy Caldwell and climbing partner Kevin Jorgeson attempt to scale the impossible 3000ft Dawn Wall of El Capitan.","Josh Lowell, Peter Mortimer",John Branch, Tommy Caldwell, Kevin Jorgeson
